Kategorie,Art,Unterkategorie,Sparte,AktuellerFormName,KorrekterFormName,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey
"Mobilität","Personenfahrzeug","Quad","4x4","quad","mobility-passenger-vehicle-quad-quad-4x4","mobility","passenger-vehicle","quad","quad-4x4"
"Mobilität","Nutzfahrzeug","Anhänger","A","trailer","mobility-commercial-vehicle-trailer-a","mobility","commercial-vehicle","trailer","a"
"Mobilität","Nutzfahrzeug","Kasten","A","boxvan","mobility-commercial-vehicle-box-boxvan","mobility","commercial-vehicle","box","boxvan"
"Verträge","Darlehen","Immobilie","Abrufdarlehen","contract-loan-credit-creditcontract","contract-loan-realestate-call-loan","contract","loan","realestate","call-loan"
"Immobilien","mit Bebauung","Bewirtschaftung","Ackerland","farmland","realestate-with-development-farmland-farmland","realestate","with-development","farmland","farmland"
"Verträge","Darlehen","Immobilie","Annuitätendarlehen","contract-loan-realestate-annuityloan","contract-loan-realestate-annuity-loan","contract","loan","realestate","annuity-loan"
"Finanzkonten","Systeme","Bezahlsysteme","Apple Pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-apple-pay","financeaccount","systems","payment-systems","apple-pay"
"Verträge","Arbeitsvertrag","Angestellter","Aufhebungsvertrag","contract-employment-employee-terminationAgreement","contract-employment-contract-employee-termination-agreement","contract","employment-contract","employee","termination-agreement"
"Verträge","Arbeitsvertrag","Beamter","Aufhebungsvertrag","contract-employment-employee-terminationAgreement","contract-employment-contract-official-termination-agreement","contract","employment-contract","official","termination-agreement"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aufhebungsvertrag","contract-employment-employee-terminationAgreement","contract-employment-contract-public-service-termination-agreement","contract","employment-contract","public-service","termination-agreement"
"Verträge","Dienstleistung","Wartung","Aufzug","contract-service-maintenance-maintenancecontract","contract-service-maintenance-elevator","contract","service","maintenance","elevator"
"Verträge","Arbeitsvertrag","Beamter","Aushilfe","employment-contract","contract-employment-contract-official-help","contract","employment-contract","official","help"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aushilfe","employment-contract","contract-employment-contract-public-service-help","contract","employment-contract","public-service","help"
"Verträge","Arbeitsvertrag","Angestellter","Aushilfe","employment-contract","contract-employment-contract-employee-help","contract","employment-contract","employee","help"
"Verträge","Versicherung","Kranken","Ausland","contract-insurance-inthealth-inthealthcontract","contract-insurance-health-abroad","contract","insurance","health","abroad"
"Verträge","Versicherung","Kranken","Auslandsreise","contract-insurance-travel-travelcontract","contract-insurance-health-foreign-travel","contract","insurance","health","foreign-travel"
"Verträge","Mietvertrag","KFZ","Auto","contract-lease-lease-leasecontract","contract-rental-contract-car-car","contract","rental-contract","car","car"
"Verträge","Leasing","KFZ","Auto","leasing","contract-leasing-car-car","contract","leasing","car","car"
"Verträge","Kaufvertrag","KFZ","Auto","contract-sale-sale-salecontract","contract-purchase-contract-car-car","contract","purchase-contract","car","car"
"Verträge","Kredit","KFZ","Auto","contract-loan-credit-creditcontract","contract-credit-car-car","contract","credit","car","car"
"Verträge","Medien","Mobilfunk","Autotelefon","contract-media-media-mediacontract","contract-media-cellular-car-phone","contract","media","cellular","car-phone"
"Mobilität","Nutzfahrzeug","Anhänger","B","trailer","mobility-commercial-vehicle-trailer-b","mobility","commercial-vehicle","trailer","b"
"Mobilität","Nutzfahrzeug","Kasten","B","boxvan","mobility-commercial-vehicle-box-boxvan","mobility","commercial-vehicle","box","boxvan"
"Mobilität","Landwirtschaft","Traktor","B","tractor","mobility-agriculture-tractor-tractor","mobility","agriculture","tractor","tractor"
"Verträge","Darlehen","Förderung","Bafög","contract-loan-credit-creditcontract","contract-loan-support-student-loans","contract","loan","support","student-loans"
"Verträge","Versicherung","Sach","Bauherrenhaftpflicht","contract-insurance-builderliability-builderliabilitycontract","contract-insurance-object-builders-liability","contract","insurance","object","builders-liability"
"Immobilien","ohne Bebauung","Grund","Bebauungsgrundstück","building-plot","realestate-without-development-ground-building-plot","realestate","without-development","ground","building-plot"
"Verträge","Versicherung","Leben","Berufsunfähigkeit","contract-insurance-disability-disabilitycontract","contract-insurance-life-disability-insurance","contract","insurance","life","disability-insurance"
"Mobilität","Nutzfahrzeug","Kasten","C","boxvan","mobility-commercial-vehicle-box-boxvan","mobility","commercial-vehicle","box","boxvan"
"Mobilität","Nutzfahrzeug","Anhänger","C","trailer","mobility-commercial-vehicle-trailer-c","mobility","commercial-vehicle","trailer","c"
"Mobilität","Personenfahrzeug","Quad","C","quad","mobility-passenger-vehicle-quad-quad-c","mobility","passenger-vehicle","quad","quad-c"
"Mobilität","Landwirtschaft","Traktor","C","tractor","mobility-agriculture-tractor-tractor","mobility","agriculture","tractor","tractor"
"Mobilität","Personenfahrzeug","Auto","Cabrio","car","mobility-passenger-vehicle-car-convertible","mobility","passenger-vehicle","car","convertible"
"Immobilien","mit Bebauung","Parkfläche","Carport","carport","realestate-with-development-parking-space-carport","realestate","with-development","parking-space","carport"
"Finanzkonten","Kredit","Kreditkarte","Charge","contract-savings-savings-overnightcontract","financeaccount-credit-credit-card-charge","financeaccount","credit","credit-card","charge"
"Mobilität","Personenfahrzeug","Motorrad","Chopper","chopper","mobility-passenger-vehicle-motorcycle-chopper","mobility","passenger-vehicle","motorcycle","chopper"
"Mobilität","Fahrrad","Bike","City","bicycle","mobility-bike-bike-city","mobility","bike","bike","city"
"Mobilität","Fahrrad","Pedelec","City","pedelec","mobility-bike-pedelec-p-city","mobility","bike","pedelec","p-city"
"Mobilität","Fahrrad","E-Bike","City","ebike","mobility-bike-e-bike-e-city","mobility","bike","e-bike","e-city"
"Verträge","Kaufvertrag","Gegenstände","Couch","contract-sale-sale-salecontract","contract-purchase-contract-objects-coffee-table","contract","purchase-contract","objects","coffee-table"
"Mobilität","Personenfahrzeug","Auto","Coupé","car","mobility-passenger-vehicle-car-coupe","mobility","passenger-vehicle","car","coupe"
"Mobilität","Fahrrad","E-Bike","Cross","ebike","mobility-bike-e-bike-e-cross","mobility","bike","e-bike","e-cross"
"Mobilität","Fahrrad","Pedelec","Cross","pedelec","mobility-bike-pedelec-p-cross","mobility","bike","pedelec","p-cross"
"Mobilität","Fahrrad","Bike","Cross","bicycle","mobility-bike-bike-cross","mobility","bike","bike","cross"
"Mobilität","Personenfahrzeug","Motorrad","Cruiser","cruiser","mobility-passenger-vehicle-motorcycle-cruiser","mobility","passenger-vehicle","motorcycle","cruiser"
"Mobilität","Personenfahrzeug","Auto","CUV","car","mobility-passenger-vehicle-car-cuv","mobility","passenger-vehicle","car","cuv"
"Finanzkonten","Kredit","Kreditkarte","Debit","contract-creditcard-credit-creditcard","financeaccount-credit-credit-card-debit","financeaccount","credit","credit-card","debit"
"Mobilität","Personenfahrzeug","Motorrad","Dirt Bike","dirt-bike","mobility-passenger-vehicle-motorcycle-dirt-bike","mobility","passenger-vehicle","motorcycle","dirt-bike"
"Verträge","Versicherung","Gewerbe","D&O Managerhaftpflicht","contract-insurance-domanager-domanagercontract","contract-insurance-business-manager-liability","contract","insurance","business","manager-liability"
"Immobilien","mit Bebauung","Wohnhaus","Doppelhaushälfte","commercial-residential-property","realestate-with-development-residential-building-semit-detached-house","realestate","with-development","residential-building","semit-detached-house"
"Mobilität","Fahrrad","Pedelec","Dreirad","pedelec","mobility-bike-pedelec-p-tricycle","mobility","bike","pedelec","p-tricycle"
"Mobilität","Fahrrad","Bike","Dreirad","bicycle","mobility-bike-bike-tricycle","mobility","bike","bike","tricycle"
"Mobilität","Fahrrad","E-Bike","Dreirad","ebike","mobility-bike-e-bike-e-tricycle","mobility","bike","e-bike","e-tricycle"
"Verträge","Medien","Internet","DSL","contract-media-media-mediacontract","contract-media-internet-broadband","contract","media","internet","broadband"
"Verträge","Versicherung","Sach","E-Bike & Pedeleg","contract-insurance-bike-bikecontract","contract-insurance-object-ebike","contract","insurance","object","ebike"
"Immobilien","mit Bebauung","Wohnhaus","Einfamilienhaus","commercial-residential-property","realestate-with-development-residential-building-detached-house","realestate","with-development","residential-building","detached-house"
"Kontakte","Kontakte","Kontakt","Einzelkontakt","single-contact","contact-contact-contact-single-contact","contact","contact","contact","single-contact"
"Mobilität","Personenfahrzeug","Quad","Elektro","quad","mobility-passenger-vehicle-quad-quad-electro","mobility","passenger-vehicle","quad","quad-electro"
"Verträge","Versicherung","Sach","Elementar (Wohngebäude)","contract-insurance-fire-firecontract","contract-insurance-object-elementary","contract","insurance","object","elementary"
"Verträge","Darlehen","Immobilie","Endfällige Darlehen","contract-loan-credit-creditcontract","contract-loan-realestate-bullet-loans","contract","loan","realestate","bullet-loans"
"Mobilität","Fahrrad","Pedelec","Falt","pedelec","mobility-bike-pedelec-p-folding-bike","mobility","bike","pedelec","p-folding-bike"
"Mobilität","Fahrrad","Bike","Falt","bicycle","mobility-bike-bike-folding-bike","mobility","bike","bike","folding-bike"
"Mobilität","Fahrrad","E-Bike","Falt","ebike","mobility-bike-e-bike-e-folding-bike","mobility","bike","e-bike","e-folding-bike"
"Mobilität","Nutzfahrzeug","Wohnwagen","Familien","caravan","mobility-commercial-vehicle-caravan-family","mobility","commercial-vehicle","caravan","family"
"Verträge","Mietvertrag","Immobilie","Ferienhaus","contract-lease-lease-leasecontract","contract-rental-contract-realestate-holiday-house","contract","rental-contract","realestate","holiday-house"
"Immobilien","mit Bebauung","Wohnhaus","Ferienhaus","commercial-residential-property","realestate-with-development-residential-building-vacation-house","realestate","with-development","residential-building","vacation-house"
"Verträge","Mietvertrag","Immobilie","Ferienwohnung","contract-lease-lease-leasecontract","contract-rental-contract-realestate-holiday-apartment","contract","rental-contract","realestate","holiday-apartment"
"Verträge","Kaufvertrag","Geräte","Fernseher","contract-sale-sale-salecontract","contract-purchase-contract-devices-tv","contract","purchase-contract","devices","tv"
"Verträge","Energie","Heizen","Fernwärme","energy","contract-energy-heating-district-heating","contract","energy","heating","district-heating"
"Verträge","Versicherung","Sach","Feuer","insurance-fire","contract-insurance-object-fire","contract","insurance","object","fire"
"Verträge","Medien","Streaming","Filme / Serien","contract-media-media-mediacontract","contract-media-streaming-movies-series","contract","media","streaming","movies-series"
"Immobilien","mit Bebauung","Bewirtschaftung","Forst","forest","realestate-with-development-farmland-forest","realestate","with-development","farmland","forest"
"Verträge","Kredit","Kredit","freie Verwendung","contract-loan-credit-creditcontract","contract-credit-credit-free-use","contract","credit","credit","free-use"
"Immobilien","mit Bebauung","Bewirtschaftung","Frucht","fruit","realestate-with-development-farmland-fruit","realestate","with-development","farmland","fruit"
"Immobilien","mit Bebauung","Parkfläche","Garage","garage","realestate-with-development-parking-space-garage","realestate","with-development","parking-space","garage"
"Verträge","Mietvertrag","Abstellplatz","Garage","contract-lease-lease-leasecontract","contract-rental-contract-put-down-space-garage","contract","rental-contract","put-down-space","garage"
"Verträge","Dienstleistung","Service","Gärtner","contract-service-gardener-gardenerservicecontract","contract-service-service-gardener","contract","service","service","gardener"
"Verträge","Energie","Heizen","Gas","energy","contract-energy-heating-gas","contract","energy","heating","gas"
"Verträge","Versicherung","Gewerbe","Gebäude","contract-insurance-residential-residentialcontract","contract-insurance-business-building","contract","insurance","business","building"
"Verträge","Mietvertrag","Immobilie","Gebäude","contract-lease-lease-leasecontract","contract-rental-contract-realestate-building","contract","rental-contract","realestate","building"
"Mobilität","Personenfahrzeug","Auto","Geländewagen","car","mobility-passenger-vehicle-car-off-road-vehicle","mobility","passenger-vehicle","car","off-road-vehicle"
"Verträge","Dienstleistung","Gebühren","Gemeindegebühren","municipal-fees","contract-service-fees-municipal-fees","contract","service","fees","municipal-fees"
"Verträge","Versicherung","Kranken","gesetzliche Krankenversicherung","contract-insurance-health-healthcontract","contract-insurance-health-statutory-health-insurance","contract","insurance","health","statutory-health-insurance"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbeeinheit","commercial-residential-property","realestate-with-development-commercial-building-commercial-unit","realestate","with-development","commercial-building","commercial-unit"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbehaus","commercial-residential-property","realestate-with-development-commercial-building-commercial-building","realestate","with-development","commercial-building","commercial-building"
"Finanzkonten","Bank","Bankkonto","Girokonto","checking-account","financeaccount-bank-bank-account-checking-account","financeaccount","bank","bank-account","checking-account"
"Verträge","Versicherung","Sach","Glas","contract-insurance-fire-firecontract","contract-insurance-object-glas","contract","insurance","object","glas"
"Verträge","Medien","Internet","Glasfaser","contract-media-media-mediacontract","contract-media-internet-glass-fiber","contract","media","internet","glass-fiber"
"Finanzkonten","Systeme","Bezahlsysteme","Google Pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-google-pay","financeaccount","systems","payment-systems","google-pay"
"Mobilität","Fahrrad","Pedelec","Gravel","pedelec","mobility-bike-pedelec-p-gravel","mobility","bike","pedelec","p-gravel"
"Mobilität","Fahrrad","Bike","Gravel","bicycle","mobility-bike-bike-gravel","mobility","bike","bike","gravel"
"Mobilität","Fahrrad","E-Bike","Gravel","ebike","mobility-bike-e-bike-e-gravel","mobility","bike","e-bike","e-gravel"
"Verträge","Kaufvertrag","Immobilie","Grunderwerbssteuer","contract-sale-sale-salecontract","contract-purchase-contract-realestate-real-estate-tax","contract","purchase-contract","realestate","real-estate-tax"
"Verträge","Dienstleistung","Gebühren","Grunderwerbssteuer","contract-tax-realestate-realestatetaxcontract","contract-service-fees-real-estate-tax","contract","service","fees","real-estate-tax"
"Immobilien","mit Bebauung","Halle","Halle","commercial-residential-property","realestate-with-development-hall-hall","realestate","with-development","hall","hall"
"Verträge","Kaufvertrag","Geräte","Handy","contract-sale-sale-salecontract","contract-purchase-contract-devices-mobile","contract","purchase-contract","devices","mobile"
"Verträge","Medien","Mobilfunk","Handy","contract-media-media-mediacontract","contract-media-cellular-mobile","contract","media","cellular","mobile"
"Verträge","Kaufvertrag","Immobilie","Haus","contract-sale-sale-salecontract","contract-purchase-contract-realestate-house","contract","purchase-contract","realestate","house"
"Verträge","Dienstleistung","Service","Hausmeisterservice","contract-service-caretaker-caretakerservicecontract","contract-service-service-caretaker-service","contract","service","service","caretaker-service"
"Verträge","Mietvertrag","Wohnen","Hausmietvertrag","contract-lease-lease-leasecontract","contract-rental-contract-reside-house-lease","contract","rental-contract","reside","house-lease"
"Verträge","Versicherung","Sach","Hausrat","contract-insurance-furniture-furniturecontract","contract-insurance-object-household-goods","contract","insurance","object","household-goods"
"Verträge","Versicherung","Sach","Haus- und Grundbesitzerhaftpflicht","contract-insurance-liability-liabilitycontract","contract-insurance-object-homeowner-liability","contract","insurance","object","homeowner-liability"
"Verträge","Dienstleistung","Service","Hausverwaltung","property-management","contract-service-service-property-management","contract","service","service","property-management"
"Verträge","Dienstleistung","Wartung","Heizung","contract-service-maintenance-maintenancecontract","contract-service-maintenance-heating","contract","service","maintenance","heating"
"Verträge","Dienstleistung","Service","Immobilienmakler","contract-service-broker-realestateagent","contract-service-service-real-estate-agent","contract","service","service","real-estate-agent"
"Mobilität","Boot","Motorbetrieben","Jollenkreuzer","motorboat","mobility-boat-motorized-motorboat","mobility","boat","motorized","motorboat"
"Verträge","Medien","Fernsehen","Kabelfernsehen","contract-media-media-mediacontract","contract-media-television-cable-tv","contract","media","television","cable-tv"
"Verträge","Dienstleistung","Service","KFZ-Inspektion","contract-mobility-car-inspection","contract-service-service-car-inspection","contract","service","service","car-inspection"
"Mobilität","Personenfahrzeug","Quad","Kinder","quad","mobility-passenger-vehicle-quad-quad-children","mobility","passenger-vehicle","quad","quad-children"
"Finanzkonten","Systeme","Bezahlsysteme","Klarna","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-klarna","financeaccount","systems","payment-systems","klarna"
"Mobilität","Personenfahrzeug","Auto","Kleinbus","car","mobility-passenger-vehicle-car-minibus","mobility","passenger-vehicle","car","minibus"
"Mobilität","Personenfahrzeug","Auto","Kleintransporter","car","mobility-passenger-vehicle-car-small-transporter","mobility","passenger-vehicle","car","small-transporter"
"Mobilität","Personenfahrzeug","Auto","Kleinwagen","car","mobility-passenger-vehicle-car-small-car","mobility","passenger-vehicle","car","small-car"
"Mobilität","Personenfahrzeug","Auto","Kombi","car","mobility-passenger-vehicle-car-station-wagon","mobility","passenger-vehicle","car","station-wagon"
"Kontakte","Kontakte","Kontakt","Kontaktgruppe","contact-group","contact-contact-contact-contact-group","contact","contact","contact","contact-group"
"Verträge","Versicherung","Kranken","Krankenhaustagegeld","contract-insurance-dailyhospital-dailyhospitalcontract","contract-insurance-health-hospital-per-diem","contract","insurance","health","hospital-per-diem"
"Verträge","Versicherung","Kranken","Krankentagegeld","contract-insurance-dailysickness-dailysicknesscontract","contract-insurance-health-sick-pay","contract","insurance","health","sick-pay"
"Verträge","Versicherung","Sach","Kunst","contract-insurance-fire-firecontract","contract-insurance-object-art","contract","insurance","object","art"
"Mobilität","Fahrrad","Bike","Lasten","bicycle","mobility-bike-bike-cargo","mobility","bike","bike","cargo"
"Mobilität","Fahrrad","Pedelec","Lasten","pedelec","mobility-bike-pedelec-p-cargo","mobility","bike","pedelec","p-cargo"
"Mobilität","Fahrrad","E-Bike","Lasten","ebike","mobility-bike-e-bike-e-cargo","mobility","bike","e-bike","e-cargo"
"Verträge","Darlehen","Immobilie","Laufzeitzinsdarlehen","contract-loan-credit-creditcontract","contract-loan-realestate-term-loan","contract","loan","realestate","term-loan"
"Mobilität","Fahrrad","E-Bike","Lifestyle","ebike","mobility-bike-e-bike-e-lifestyle","mobility","bike","e-bike","e-lifestyle"
"Mobilität","Fahrrad","Pedelec","Lifestyle","pedelec","mobility-bike-pedelec-p-lifestyle","mobility","bike","pedelec","p-lifestyle"
"Mobilität","Fahrrad","Bike","Lifestyle","bicycle","mobility-bike-bike-lifestyle","mobility","bike","bike","lifestyle"
"Mobilität","Personenfahrzeug","Auto","Limousine","car","mobility-passenger-vehicle-car-limousine","mobility","passenger-vehicle","car","limousine"
"Mobilität","Nutzfahrzeug","Wohnwagen","Luxus","caravan","mobility-commercial-vehicle-caravan-luxury","mobility","commercial-vehicle","caravan","luxury"
"Immobilien","mit Bebauung","Wohnhaus","Mehrfamilienhaus","commercial-residential-property","realestate-with-development-residential-building-apartment-building","realestate","with-development","residential-building","apartment-building"
"Verträge","Versicherung","Sach","Mietausfall","contract-insurance-rental-rentalcontract","contract-insurance-object-loss-of-rent","contract","insurance","object","loss-of-rent"
"Verträge","Dienstleistung","Service","Mietverwaltung","contract-rentalmanagement-rentalmanagement-rentalmanagementcontract","contract-service-service-rental-management","contract","service","service","rental-management"
"Verträge","Arbeitsvertrag","Beamter","Mini","employment-contract","contract-employment-contract-official-mini-job","contract","employment-contract","official","mini-job"
