Kategorie,Art,Unterkategorie,Sparte,AktuellerFormName,KorrekterFormName,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Mini","employment-contract","contract-employment-contract-public-service-mini-job","contract","employment-contract","public-service","mini-job"
"Verträge","Arbeitsvertrag","Angestellter","Mini","employment-contract","contract-employment-contract-employee-mini-job","contract","employment-contract","employee","mini-job"
"Mobilität","Personenfahrzeug","Auto","Minivan","car","mobility-passenger-vehicle-car-minivan","mobility","passenger-vehicle","car","minivan"
"Mobilität","Personenfahrzeug","Wohnmobil","mit Alkoven","camper","mobility-passenger-vehicle-camper-alkoven","mobility","passenger-vehicle","camper","alkoven"
"Verträge","Darlehen","Immobilie","Modernisierung","contract-loan-credit-creditcontract","contract-loan-realestate-modernization","contract","loan","realestate","modernization"
"Verträge","Kredit","Kredit","Modernisierung","contract-loan-credit-creditcontract","contract-credit-credit-modernization","contract","credit","credit","modernization"
"Mobilität","Personenfahrzeug","Motorrad","Motocross","motocross","mobility-passenger-vehicle-motorcycle-motocross","mobility","passenger-vehicle","motorcycle","motocross"
"Verträge","Kredit","KFZ","Motorboot","contract-loan-credit-creditcontract","contract-credit-car-boat","contract","credit","car","boat"
"Mobilität","Boot","Motorbetrieben","Motorboot","motorboat","mobility-boat-motorized-motorboat","mobility","boat","motorized","motorboat"
"Verträge","Versicherung","KFZ","Motorrad","contract-insurance-automobile-automobilecontract","contract-insurance-car-motorcycle","contract","insurance","car","motorcycle"
"Verträge","Kaufvertrag","KFZ","Motorrad","contract-sale-sale-salecontract","contract-purchase-contract-car-motorcycle","contract","purchase-contract","car","motorcycle"
"Mobilität","Boot","Hybrid","Motorsegler","motorsailer","mobility-boat-hybrid-motor-glider","mobility","boat","hybrid","motor-glider"
"Mobilität","Fahrrad","Bike","Mountainbike","bicycle","mobility-bike-bike-mtb","mobility","bike","bike","mtb"
"Mobilität","Fahrrad","Pedelec","Mountainbike","pedelec","mobility-bike-pedelec-p-mtb","mobility","bike","pedelec","p-mtb"
"Mobilität","Fahrrad","E-Bike","Mountainbike","ebike","mobility-bike-e-bike-e-mtb","mobility","bike","e-bike","e-mtb"
"Verträge","Medien","Streaming","Musik","contract-media-media-mediacontract","contract-media-streaming-music","contract","media","streaming","music"
"Mobilität","Personenfahrzeug","Motorrad","Naked","naked","mobility-passenger-vehicle-motorcycle-naked","mobility","passenger-vehicle","motorcycle","naked"
"Verträge","Dienstleistung","Service","Notar","contract-service-notary-notarycontract","contract-service-service-notary","contract","service","service","notary"
"Mobilität","Personenfahrzeug","Quad","Offroad","quad","mobility-passenger-vehicle-quad-quad-offroad","mobility","passenger-vehicle","quad","quad-offroad"
"Verträge","Energie","Heizen","Öl","energy","contract-energy-heating-oil","contract","energy","heating","oil"
"Finanzkonten","Kredit","Kreditkarte","Online Virtuell","contract-propertymanagement-propertymanagement-propertymanagementcontract","financeaccount-credit-credit-card-online-virtual","financeaccount","credit","credit-card","online-virtual"
"Immobilien","mit Bebauung","Parkfläche","Parkhaus","parking-house","realestate-with-development-parking-space-parking-house","realestate","with-development","parking-space","parking-house"
"Verträge","Mietvertrag","Abstellplatz","Parkplatz","contract-lease-lease-leasecontract","contract-rental-contract-put-down-space-parking","contract","rental-contract","put-down-space","parking"
"Immobilien","mit Bebauung","Parkfläche","Parkplatz","parking-space","realestate-with-development-parking-space-parking-space","realestate","with-development","parking-space","parking-space"
"Verträge","Darlehen","Immobilie","Partiarische Darlehen","contract-loan-credit-creditcontract","contract-loan-realestate-participatory-loans","contract","loan","realestate","participatory-loans"
"Finanzkonten","Systeme","Bezahlsysteme","Paypal","contract-rentalmanagement-rentalmanagement-rentalmanagementcontract","financeaccount-systems-payment-systems-paypal","financeaccount","systems","payment-systems","paypal"
"Immobilien","mit Bebauung","Wohnhaus","Pflegeeinrichtung","commercial-residential-property","realestate-with-development-residential-building-care-facility","realestate","with-development","residential-building","care-facility"
"Verträge","Versicherung","Leben","Pflegetagegeld","contract-insurance-longtermcaredaily-longtermcaredailycontract","contract-insurance-life-daily-care-allowance","contract","insurance","life","daily-care-allowance"
"Verträge","Versicherung","Leben","Pflegeversicherung","contract-insurance-longtermcare-longtermcarecontract","contract-insurance-life-care-insurance","contract","insurance","life","care-insurance"
"Verträge","Versicherung","Sach","Photovoltaik","contract-insurance-photovoltaic-photovoltaiccontract","contract-insurance-object-photovoltaic","contract","insurance","object","photovoltaic"
"Mobilität","Personenfahrzeug","Auto","Pickup","car","mobility-passenger-vehicle-car-pickup","mobility","passenger-vehicle","car","pickup"
"Mobilität","Personenfahrzeug","Quad","Pocket","quad","mobility-passenger-vehicle-quad-quad-pocket","mobility","passenger-vehicle","quad","quad-pocket"
"Verträge","Arbeitsvertrag","Beamter","Praktikumsvertrag","employment-contract","contract-employment-contract-official-internship","contract","employment-contract","official","internship"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Praktikumsvertrag","employment-contract","contract-employment-contract-public-service-internship","contract","employment-contract","public-service","internship"
"Verträge","Arbeitsvertrag","Angestellter","Praktikumsvertrag","employment-contract","contract-employment-contract-employee-internship","contract","employment-contract","employee","internship"
"Finanzkonten","Kredit","Kreditkarte","Prepaid","contract-creditcard-credit-creditcardcontract","financeaccount-credit-credit-card-prepaid","financeaccount","credit","credit-card","prepaid"
"Verträge","Versicherung","Sach","Privathaftpflicht","contract-insurance-liability-liabilitycontract","contract-insurance-object-personal-liability","contract","insurance","object","personal-liability"
"Verträge","Versicherung","Kranken","Privat Kranken voll","contract-insurance-health-prisickfullcontract","contract-insurance-health-additional-insurance-full","contract","insurance","health","additional-insurance-full"
"Verträge","Versicherung","Kranken","Privat Zusatz ambulant","contract-insurance-priaddout-priaddoutcontract","contract-insurance-health-additional-insurance-outpatient","contract","insurance","health","additional-insurance-outpatient"
"Verträge","Versicherung","Kranken","Privat Zusatz stationär","contract-insurance-priaddstat-priaddstatcontract","contract-insurance-health-additional-insurance-stationary","contract","insurance","health","additional-insurance-stationary"
"Verträge","Versicherung","Kranken","Privat Zusatz Zahn","contract-insurance-health-prisickfullcontract","contract-insurance-health-additional-insurance-teeth","contract","insurance","health","additional-insurance-teeth"
"Verträge","Mietvertrag","Immobilie","Raum","contract-lease-lease-leasecontract","contract-rental-contract-realestate-room","contract","rental-contract","realestate","room"
"Verträge","Versicherung","Sach","Rechtsschutz","contract-insurance-legalprotection-legalprotectioncontract","contract-insurance-object-legal-protection","contract","insurance","object","legal-protection"
"Verträge","Versicherung","Gewerbe","Rechtsschutz","contract-insurance-legalprotection-legalprotectioncontract","contract-insurance-business-legal-protection","contract","insurance","business","legal-protection"
"Immobilien","mit Bebauung","Wohnhaus","Reihenendhaus","commercial-residential-property","realestate-with-development-residential-building-terraced-end-house","realestate","with-development","residential-building","terraced-end-house"
"Immobilien","mit Bebauung","Wohnhaus","Reihenmittelhaus","commercial-residential-property","realestate-with-development-residential-building-terraced-mid-house","realestate","with-development","residential-building","terraced-mid-house"
"Verträge","Dienstleistung","Service","Reinigung","contract-service-cleaning-cleaningcontract","contract-service-service-cleaning","contract","service","service","cleaning"
"Mobilität","Personenfahrzeug","Quad","Renn","quad","mobility-passenger-vehicle-quad-quad-race","mobility","passenger-vehicle","quad","quad-race"
"Mobilität","Fahrrad","E-Bike","Rennrad","ebike","mobility-bike-e-bike-e-racing-bike","mobility","bike","e-bike","e-racing-bike"
"Mobilität","Fahrrad","Pedelec","Rennrad","pedelec","mobility-bike-pedelec-p-racing-bike","mobility","bike","pedelec","p-racing-bike"
"Mobilität","Fahrrad","Bike","Rennrad","bicycle","mobility-bike-bike-racing-bike","mobility","bike","bike","racing-bike"
"Verträge","Versicherung","Leben","Rentenversicherung Fonds","contract-insurance-pensionfund-pensionfundcontract","contract-insurance-life-pension-insurance-fund","contract","insurance","life","pension-insurance-fund"
"Verträge","Versicherung","Leben","Rentenversicherung klassisch","contract-insurance-classicpension-classicpensioncontract","contract-insurance-life-pension-insurance","contract","insurance","life","pension-insurance"
"Finanzkonten","Kredit","Kreditkarte","Revolving","contract-creditcard-credit-creditcardcontract","financeaccount-credit-credit-card-revolving","financeaccount","credit","credit-card","revolving"
"Verträge","Versicherung","Leben","Risiko Lebensversicherung","contract-insurance-risklife-risklifecontract","contract-insurance-life-risk-life-insurance","contract","insurance","life","risk-life-insurance"
"Mobilität","Personenfahrzeug","Quad","Road","quad","mobility-passenger-vehicle-quad-quad-road","mobility","passenger-vehicle","quad","quad-road"
"Mobilität","Personenfahrzeug","Auto","Roadstar","car","mobility-passenger-vehicle-car-roadstar","mobility","passenger-vehicle","car","roadstar"
"Verträge","Darlehen","Immobilie","Rollierende Geldmarktdarlehen","contract-loan-credit-creditcontract","contract-loan-realestate-rolling-market-loans","contract","loan","realestate","rolling-market-loans"
"Finanzkonten","Kredit","Kreditkarte","Samsung","contract-creditcard-credit-creditcard","financeaccount-credit-credit-card-samsung","financeaccount","credit","credit-card","samsung"
"Verträge","Medien","Fernsehen","Satellitenfernsehen","contract-media-media-mediacontract","contract-media-television-satellite-tv","contract","media","television","satellite-tv"
"Verträge","Dienstleistung","Wartung","Schornsteinfeger","chimney-sweeper","contract-service-maintenance-chimney-sweeper","contract","service","maintenance","chimney-sweeper"
"Immobilien","mit Bebauung","Garten","Schrebergarten","allotment-garden","realestate-with-development-garden-allotment-garden","realestate","with-development","garden","allotment-garden"
"Mobilität","Boot","Segeln","Segelboot","sailboat","mobility-boat-sailing-sailing-boat","mobility","boat","sailing","sailing-boat"
"Mobilität","Boot","Segeln","Segelyacht","sailboat","mobility-boat-sailing-sailing-yacht","mobility","boat","sailing","sailing-yacht"
"Mobilität","Personenfahrzeug","Quad","Side by Side","quad","mobility-passenger-vehicle-quad-quad-side-by-side","mobility","passenger-vehicle","quad","quad-side-by-side"
"Finanzkonten","Systeme","Bezahlsysteme","Skrill","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-skrill","financeaccount","systems","payment-systems","skrill"
"Finanzkonten","Bank","Bankkonto","Sparkonto","contract-savings-savings-savingscontract","financeaccount-bank-bank-account-saving-account","financeaccount","bank","bank-account","saving-account"
"Mobilität","Fahrrad","Bike","Speed","bicycle","mobility-bike-bike-speed-bike","mobility","bike","bike","speed-bike"
"Mobilität","Fahrrad","Pedelec","Speed","pedelec","mobility-bike-pedelec-p-speed-bike","mobility","bike","pedelec","p-speed-bike"
"Mobilität","Fahrrad","E-Bike","Speed","ebike","mobility-bike-e-bike-e-speed-bike","mobility","bike","e-bike","e-speed-bike"
"Mobilität","Nutzfahrzeug","Wohnwagen","Sport","caravan","mobility-commercial-vehicle-caravan-sport","mobility","commercial-vehicle","caravan","sport"
"Mobilität","Boot","Motorbetrieben","Sportboot","motorboat","mobility-boat-motorized-motorboat","mobility","boat","motorized","motorboat"
"Mobilität","Personenfahrzeug","Motorrad","Srambler","srambler","mobility-passenger-vehicle-motorcycle-srambler","mobility","passenger-vehicle","motorcycle","srambler"
"Mobilität","Personenfahrzeug","Motorrad","Streetfighter","streetfighter","mobility-passenger-vehicle-motorcycle-streetfighter","mobility","passenger-vehicle","motorcycle","streetfighter"
"Finanzkonten","Systeme","Bezahlsysteme","Stripe","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-stripe","financeaccount","systems","payment-systems","stripe"
"Verträge","Energie","Photovoltaik","Strom","energy","contract-energy-photovoltaic-electricity","contract","energy","photovoltaic","electricity"
"Verträge","Energie","Elektrik","Strom","energy-electric-strom","contract-energy-electric-electricity","contract","energy","electric","electricity"
"Mobilität","Personenfahrzeug","Motorrad","Stuntbike","stuntbike","mobility-passenger-vehicle-motorcycle-stuntbike","mobility","passenger-vehicle","motorcycle","stuntbike"
"Mobilität","Fahrrad","E-Bike","SUV","ebike","mobility-bike-e-bike-e-suv","mobility","bike","e-bike","e-suv"
"Mobilität","Fahrrad","Bike","SUV","bicycle","mobility-bike-bike-suv","mobility","bike","bike","suv"
"Mobilität","Fahrrad","Pedelec","SUV","pedelec","mobility-bike-pedelec-p-suv","mobility","bike","pedelec","p-suv"
"Mobilität","Personenfahrzeug","Auto","SUV","car","mobility-passenger-vehicle-car-suv","mobility","passenger-vehicle","car","suv"
"Verträge","Medien","Mobilfunk","Tablet","contract-media-media-mediacontract","contract-media-cellular-tablet","contract","media","cellular","tablet"
"Mobilität","Personenfahrzeug","Wohnmobil","teilintegriert","camper","mobility-passenger-vehicle-camper-semi-integrated","mobility","passenger-vehicle","camper","semi-integrated"
"Verträge","Arbeitsvertrag","Beamter","Teilzeit","employment-contract","contract-employment-contract-official-half-time","contract","employment-contract","official","half-time"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Teilzeit","employment-contract","contract-employment-contract-public-service-half-time","contract","employment-contract","public-service","half-time"
"Verträge","Arbeitsvertrag","Angestellter","Teilzeit","employment-contract","contract-employment-contract-employee-half-time","contract","employment-contract","employee","half-time"
"Verträge","Versicherung","Sach","Tierhalterhaftpflicht","contract-insurance-liabilitypet-liabilitypetcontract","contract-insurance-object-animal-owner-liability","contract","insurance","object","animal-owner-liability"
"Verträge","Versicherung","Sach","Tier OP","contract-insurance-pet-petcontract","contract-insurance-object-animal-surgery","contract","insurance","object","animal-surgery"
"Verträge","Darlehen","Immobilie","Tilgungsdarlehen","contract-loan-credit-creditcontract","contract-loan-realestate-amortization-loan","contract","loan","realestate","amortization-loan"
"Verträge","Kaufvertrag","Gegenstände","Tisch","contract-sale-sale-salecontract","contract-purchase-contract-objects-table","contract","purchase-contract","objects","table"
"Mobilität","Landwirtschaft","Traktor","Träker","tractor","mobility-agriculture-tractor-tractor","mobility","agriculture","tractor","tractor"
"Verträge","Versicherung","KFZ","Traktor","contract-insurance-automobile-automobilecontract","contract-insurance-car-tractor","contract","insurance","car","tractor"
"Mobilität","Personenfahrzeug","Auto","Transporter","car","mobility-passenger-vehicle-car-transporter","mobility","passenger-vehicle","car","transporter"
"Mobilität","Fahrrad","Bike","Trekking","bicycle","mobility-bike-bike-trekking-bike","mobility","bike","bike","trekking-bike"
"Mobilität","Fahrrad","E-Bike","Trekking","ebike","mobility-bike-e-bike-e-trekking-bike","mobility","bike","e-bike","e-trekking-bike"
"Mobilität","Fahrrad","Pedelec","Trekking","pedelec","mobility-bike-pedelec-p-trekking-bike","mobility","bike","pedelec","p-trekking-bike"
"Mobilität","Personenfahrzeug","Motorrad","Trial","trial","mobility-passenger-vehicle-motorcycle-trial","mobility","passenger-vehicle","motorcycle","trial"
"Verträge","Kredit","Kredit","Umschuldung","contract-loan-credit-creditcontract","contract-credit-credit-rescheduling","contract","credit","credit","rescheduling"
"Verträge","Versicherung","Sach","Umweltschadenhaftpflicht","contract-insurance-environmentaldamage-environmentaldamagecontract","contract-insurance-object-environmental-damage","contract","insurance","object","environmental-damage"
"Verträge","Versicherung","Sach","Unfall","contract-insurance-accident-accidentcontract","contract-insurance-object-accident","contract","insurance","object","accident"
"Mobilität","Personenfahrzeug","Auto","Van","car","mobility-passenger-vehicle-car-van","mobility","passenger-vehicle","car","van"
"Verträge","Dienstleistung","Service","Versicherungsmakler","contract-insurance-broker-brokercontract","contract-service-service-insurance-broker","contract","service","service","insurance-broker"
"Mobilität","Personenfahrzeug","Wohnmobil","vollintegriert","camper","mobility-passenger-vehicle-camper-fully-integrated","mobility","passenger-vehicle","camper","fully-integrated"
"Verträge","Arbeitsvertrag","Angestellter","Vollzeit","employment-contract","contract-employment-contract-employee-full-time","contract","employment-contract","employee","full-time"
"Verträge","Arbeitsvertrag","Beamter","Vollzeit","employment-contract","contract-employment-contract-official-full-time","contract","employment-contract","official","full-time"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Vollzeit","employment-contract","contract-employment-contract-public-service-full-time","contract","employment-contract","public-service","full-time"
"Verträge","Dienstleistung","Wartung","Wärmepumpe","contract-service-maintenance-maintenancecontract","contract-service-maintenance-heat-pump","contract","service","maintenance","heat-pump"
"Immobilien","mit Bebauung","Bewirtschaftung","Weide","pasture","realestate-with-development-farmland-pasture","realestate","with-development","farmland","pasture"
"Verträge","Arbeitsvertrag","Angestellter","Werkvertrag","employment-contract","contract-employment-contract-employee-work-contract","contract","employment-contract","employee","work-contract"
"Verträge","Arbeitsvertrag","Beamter","Werkvertrag","employment-contract","contract-employment-contract-official-work-contract","contract","employment-contract","official","work-contract"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Werkvertrag","employment-contract","contract-employment-contract-public-service-work-contract","contract","employment-contract","public-service","work-contract"
"Immobilien","ohne Bebauung","Grund","Wiese","meadow","realestate-without-development-ground-meadow","realestate","without-development","ground","meadow"
"Verträge","Versicherung","Sach","Wohngebäude","contract-insurance-residential-residentialcontract","contract-insurance-object-residential-building","contract","insurance","object","residential-building"
"Verträge","Mietvertrag","KFZ","Wohnmobil","contract-lease-lease-leasecontract","contract-rental-contract-car-camper","contract","rental-contract","car","camper"
"Verträge","Versicherung","KFZ","Wohnmobil","contract-insurance-automobile-automobilecontract","contract-insurance-car-camper","contract","insurance","car","camper"
"Verträge","Kaufvertrag","Immobilie","Wohnung","contract-sale-sale-salecontract","contract-purchase-contract-realestate-apartment","contract","purchase-contract","realestate","apartment"
"Immobilien","mit Bebauung","Wohn + Gewerbehaus","Wohnungen & Gewerbe","commercial-residential-property","realestate-with-development-commercial-residential-building-apartments-commercial-mix","realestate","with-development","commercial-residential-building","apartments-commercial-mix"
"Verträge","Mietvertrag","Wohnen","Wohnungsmietvertrag","contract-lease-lease-leasecontract","contract-rental-contract-reside-apartment-rental-agreement","contract","rental-contract","reside","apartment-rental-agreement"
"Verträge","Kredit","KFZ","Wohnwagen","contract-loan-credit-creditcontract","contract-credit-car-caravan","contract","credit","car","caravan"
"Verträge","Versicherung","KFZ","Wohnwagen","contract-insurance-automobile-automobilecontract","contract-insurance-car-caravan","contract","insurance","car","caravan"
"Mobilität","Fahrrad","Pedelec","XXL","pedelec","mobility-bike-pedelec-p-xxl","mobility","bike","pedelec","p-xxl"
"Mobilität","Fahrrad","Bike","XXL","bicycle","mobility-bike-bike-xxl","mobility","bike","bike","xxl"
"Mobilität","Fahrrad","E-Bike","XXL","ebike","mobility-bike-e-bike-e-xxl","mobility","bike","e-bike","e-xxl"
"Mobilität","Boot","Motorbetrieben","Yacht","motorboat","mobility-boat-motorized-motorboat","mobility","boat","motorized","motorboat"
"Mobilität","Nutzfahrzeug","Wohnwagen","Zelt","caravan","mobility-commercial-vehicle-caravan-tent","mobility","commercial-vehicle","caravan","tent"
"Immobilien","mit Bebauung","Wohnhaus","Zweifamilienhaus","commercial-residential-property","realestate-with-development-residential-building-two-family-house","realestate","with-development","residential-building","two-family-house"
"Mobilität","Nutzfahrzeug","Wohnwagen","Zwei-Personen","caravan","mobility-commercial-vehicle-caravan-two-persons","mobility","commercial-vehicle","caravan","two-persons"